date,SPY
20160609,-0.001366
20160610,-0.009478
20160613,-0.007716
20160614,-0.001963
20160615,-0.001394
20160616,0.002984
20160617,-0.008878
20160620,0.00644
20160621,0.002839
20160622,-0.0016309999999999999
20160623,0.013022999999999998
20160624,-0.036431
20160627,-0.017378
20160628,0.018035
20160629,0.017029
20160630,0.013621000000000001
20160701,0.002128
20160705,-0.007197
20160706,0.005998
20160707,-0.0006389999999999999
20160708,0.01491
20160711,0.003527
20160712,0.0072629999999999995
20160713,-0.00014
20160714,0.005582999999999999
20160715,-0.001342
20160718,0.002684
20160719,-0.001013
20160720,0.00414
20160721,-0.0037770000000000004
20160722,0.004508
20160725,-0.002716
20160726,0.000462
20160727,-0.0010609999999999999
20160728,0.001155
20160729,0.001615
20160801,-0.0008289999999999999
20160802,-0.006411
20160803,0.002926
20160804,0.0010630000000000001
20160805,0.00818
20160808,-0.000596
20160809,0.000596
20160810,-0.002475
20160811,0.004640999999999999
20160812,-0.000869
20160815,0.002884
20160816,-0.005158
20160817,0.0018809999999999999
20160818,0.0022440000000000003
20160819,-0.001462
20160822,-4.6e-05
20160823,0.002013
20160824,-0.005115
20160825,-0.0006889999999999999
20160826,-0.001883
20160829,0.004928
20160830,-0.001652
20160831,-0.002844
20160901,4.6e-05
20160902,0.004508
20160906,0.003026
20160907,-9.499999999999999e-05
20160908,-0.002283
20160909,-0.023934999999999998
20160912,0.014347
20160913,-0.014376
20160914,-0.000375
20160915,0.009993
20160916,-0.008872
20160919,0.000188
20160920,4.7e-05
20160921,0.011245
20160922,0.006301
20160923,-0.0054789999999999995
20160926,-0.008102
20160927,0.006208
20160928,0.004964
20160929,-0.009047
20160930,0.007546
20161003,-0.002404
20161004,-0.005098
20161005,0.004425
20161006,0.000696
20161007,-0.0034289999999999998
20161010,0.005208
20161011,-0.012629999999999999
20161012,0.001312
20161013,-0.003276
20161014,0.000516
20161017,-0.003472
20161018,0.006261999999999999
20161019,0.002667
20161020,-0.0018670000000000002
20161021,0.000468
20161024,0.004253
20161025,-0.003351
20161026,-0.002008
20161027,-0.002667
20161028,-0.002955
20161031,4.7e-05
20161101,-0.007245000000000001
20161102,-0.006019
20161103,-0.004577
20161104,-0.001102
20161107,0.022057
20161108,0.004504
20161109,0.010598
20161110,0.002499
20161111,-0.002305
20161114,0.000786
20161115,0.007803
20161116,-0.0018780000000000001
20161117,0.005141
20161118,-0.002238
20161121,0.007551
20161122,0.001953
20161123,0.000544
20161125,0.003715
20161128,-0.004695
20161129,0.00195
20161130,-0.0023989999999999997
20161201,-0.003675
20161202,0.0005009999999999999
20161205,0.0060090000000000005
20161206,0.003167
20161207,0.013081
20161208,0.002449
20161209,0.00604
20161212,-0.0011480000000000001
20161213,0.006673999999999999
20161214,-0.008254000000000001
20161215,0.004117
20161216,-0.007804000000000001
20161219,0.002177
20161220,0.003858
20161221,-0.002783
20161222,-0.001727
20161223,0.001464
20161227,0.0024809999999999997
20161228,-0.008265
20161229,-0.000223
20161230,-0.003655
